"3.310290575027466,130.60,-0.01,0.22,-0.03"
"7.173406600952148,130.60,0.04,0.22,0.19"
"11.038951635360718,130.60,0.04,0.22,0.19"
"14.903810501098633,274.60,0.04,0.22,0.18"
"18.772040605545044,284.90,28.04,0.22,127.29"
"22.637577295303345,284.90,33.37,0.22,151.46"
"26.50171399116516,336.80,-0.12,0.22,-0.54"
"30.368040561676025,335.30,-0.03,18.50,-0.00"
"34.23910355567932,335.30,0.13,15.42,0.01"
"38.10437989234924,335.30,0.28,11.90,0.02"
"41.96812844276428,335.30,0.30,3.75,0.08"
"45.83384895324707,335.30,0.31,13.44,0.02"
"49.698077917099,335.30,0.27,15.20,0.02"
"53.56250238418579,335.30,0.24,16.08,0.02"
"57.426889181137085,335.30,0.24,0.01,24.49"
"61.29883623123169,335.30,0.25,0.22,1.14"
"65.16411709785461,335.30,0.25,0.22,1.14"
"69.03026008605957,335.30,0.22,0.01,22.26"
"72.89499759674072,335.30,0.23,0.01,23.22"
"76.75986862182617,335.30,0.19,0.01,18.96"
