"3.3152198791503906,335.30,0.01,0.01,0.53"
"7.182032585144043,335.30,-0.00,0.01,-0.00"
"11.045006275177002,350.20,0.00,0.01,0.32"
"14.921175003051758,357.40,-0.01,0.01,-1.49"
"18.780043363571167,357.40,-0.00,0.01,-0.32"
"22.64438533782959,357.40,0.02,0.01,2.34"
"26.51105809211731,357.40,0.04,0.01,4.26"
"30.38070058822632,271.50,38.21,0.01,3820.57"
"34.252628564834595,281.30,-0.33,0.01,-33.12"
"38.11843729019165,281.30,-0.16,13.22,-0.01"
"41.98034167289734,282.30,0.02,8.37,0.00"
"45.84535789489746,282.30,0.17,6.61,0.03"
